,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
81,Batman: Under the Red Hood,Brandon Vietti,Judd Winick,"['Judd Winick', 'Doug Mahnke']","['Bruce Timm', 'Bobbie Page']","['Bruce Greenwood', 'Jensen Ackles', 'John DiMaggio', 'Neil Patrick Harris', 'Jason Isaacs', 'Wade Williams']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['July 27, 2010']",75 minutes,English,,,2010-07-27,2010-07-27,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'The Answer Studio (Animation services)']",,,,,,
82,Superman/Batman: Apocalypse,Lauren Montgomery,Tab Murphy,"['Superman/Batman', ': ""The Supergirl from Krypton""', 'by', 'Jeph Loeb', 'and', 'Michael Turner']","['Bruce Timm', 'Alan Burnett', 'Bobbi Page', 'Lauren Montgomery', 'Sam Register', 'Benjamin Melniker', 'Michael Uslan']","['Andre Braugher', 'Kevin Conroy', 'Tim Daly', 'Summer Glau', 'Edward Asner', 'Susan Eisenberg', 'Julianne Grossman']",,,John Paesano,,Warner Home Video,"['September 28, 2010']",78 minutes,English,,,2010-09-28,2010-09-28,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'MOI Animation']",,,,,,
83,Superman/Batman: Public Enemies,Sam Liu,Stan Berkowitz,"['Superman/Batman', 'by', 'Jeph Loeb', 'and', 'Ed McGuinness']","['Bruce Timm', 'Alan Burnett', 'Michael Goguen', 'Bobbie Page', 'Sam Register', 'Benjamin Melniker', 'Michael Uslan']","['Clancy Brown', 'Kevin Conroy', 'Tim Daly', 'Xander Berkeley', 'Corey Burton', 'Ricardo Chavira', 'Allison Mack', 'John C. McGinley', 'C. C. H. Pounder']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['September 29, 2009']",67 minutes,English,,,2009-09-29,2009-09-29,United States,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Entertainment', 'Lotto Animation (Animation services)']",,,,,,
84,All-Star Superman,Sam Liu,Dwayne McDuffie,"['Grant Morrison', 'Frank Quitely']","['Bruce Timm', 'Alan Burnett', 'Sam Register']","['James Denton', 'Christina Hendricks', 'Anthony LaPaglia']",,,Christopher Drake,,Warner Home Video,"['February 22, 2011']",78 minutes,English,,,2011-02-22,2011-02-22,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation']",,,,,,
85,Green Lantern: Emerald Knights,"['Christopher Berkeley', 'Lauren Montgomery', 'Jay Oliva']","['Eddie Berganza', 'Alan Burnett', 'Todd Casey', 'Dave Gibbons', 'Michael Green', 'Marc Guggenheim', 'Geoff Johns', 'Peter Tomasi']","['John Broome', 'Gil Kane']","['Donald De Line', 'Greg Berlanti', 'Lauren Montgomery']","['Nathan Fillion', 'Jason Isaacs', 'Elizabeth Moss', 'Henry Rollins', 'Arnold Vosloo']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['June 7, 2011']",84 minutes,English,,,2011-06-07,2011-06-07,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation']",,,,,,
86,Batman: Year One,"['Sam Liu', 'Lauren Montgomery']",Tab Murphy,"['Frank Miller', 'David Mazzucchelli']","['Bruce Timm', 'Alan Burnett', 'Lauren Montgomery', 'Sam Register']","['Bryan Cranston', 'Ben McKenzie', 'Eliza Dushku', 'Jon Polito', 'Alex Rocco', 'Katee Sackhoff']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['October 18, 2011']",64 minutes,English,3500000.0,6100000.0,2011-10-18,2011-10-18,United States,$3.5 million,$6.1 million,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'MOI Animation']",,,,,,
87,Justice League: Doom,Lauren Montgomery,Dwayne McDuffie,"['JLA: Tower of Babel', 'by', 'Mark Waid']",Lauren Montgomery,"['Kevin Conroy', 'Tim Daly', 'Susan Eisenberg', 'Nathan Fillion', 'Carl Lumbly', 'Michael Rosenbaum']",,Christoper D. Lozinski,Christopher Drake,,Warner Home Video,"['February 28, 2012']",77 minutes,English,,,2012-02-28,2012-02-28,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'Telecom Animation Film']",,,,,,
88,Superman vs. The Elite,Michael Chang,Joe Kelly,"['Superman', 'by', 'Jerry Siegel', 'and', 'Joe Shuster', ""What's So Funny About Truth, Justice & the American Way?"", 'by Joe Kelly']",,"['George Newbern', 'Pauley Perrette', 'Robin Atkin Downes', 'Catero Colbert', 'Melissa Disney', 'Andrew Kishino']",,Christopher D. Lozinski,Robert J. Kral,,Warner Home Video,"['June 12, 2012']",76 Minutes,English,,,2012-06-12,2012-06-12,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation']",,,,,,
89,Batman: The Dark Knight Returns,Jay Oliva,Bob Goodman,"['Frank Miller', 'Klaus Janson']",,"['Peter Weller', 'Ariel Winter', 'David Selby', 'Wade Williams', 'Michael Emerson', 'Mark Valley']",,Christopher D. Lozinski,Christopher Drake,,Warner Home Video,,"['76 minutes (Part 1)', '76 minutes (Part 2)', '152 minutes (Deluxe Edition)']",English,,,,,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'MOI Animation (Animation services)']","['September 25, 2012 (Part 1)', 'January 29, 2013 (Part 2)', 'October 8, 2013 (Deluxe Edition)']",,,,,
90,Batman: The Dark Knight Returns,Jay Oliva,Bob Goodman,"['Frank Miller', 'Klaus Janson']",,"['Peter Weller', 'Ariel Winter', 'David Selby', 'Wade Williams', 'Michael Emerson', 'Mark Valley']",,Christopher D. Lozinski,Christopher Drake,,Warner Home Video,,"['76 minutes (Part 1)', '76 minutes (Part 2)', '152 minutes (Deluxe Edition)']",English,,,,,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'MOI Animation (Animation services)']","['September 25, 2012 (Part 1)', 'January 29, 2013 (Part 2)', 'October 8, 2013 (Deluxe Edition)']",,,,,
91,Superman: Unbound,James Tucker,,Superman: Brainiac by Geoff Johns,"['James Tucker', 'Alan Burnett']","['Matt Bomer', 'Stana Katic', 'John Noble', 'Molly Quinn']",Al Jean,Christoper D. Lozinski,Kevin Kliesch,,Warner Home Video,"['May 7, 2013']",75 minutes,English,,,2013-05-07,2013-05-07,United States,,,Bob Goodman,,"['Warner Premiere', 'Warner Bros. Animation', 'DC Entertainment']",,,,,,
92,Justice League: The Flashpoint Paradox,Jay Oliva,Jim Krieg,"['Geoff Johns', 'Andy Kubert']",James Tucker,"['Justin Chambers', 'C. Thomas Howell', 'Michael B. Jordan', 'Kevin McKidd', 'Cary Elwes']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,"['July 30, 2013']",81 minutes,English,,,2013-07-30,2013-07-30,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation', 'Studio 4°C']",,,,,,
93,JLA Adventures: Trapped in Time,Giancarlo Volpe,,['Gardner Fox'],Giancarlo Volpe,"['Diedrich Bader', 'Laura Bailey', 'Dante Basco', 'Corey Burton', 'Grey DeLisle-Griffin', 'Peter Jessop', 'Fred Tatasciore']",,Bruce A. King,Frederik Wiedmann,,Warner Home Video,"['January 21, 2014']",52 minutes,English,,,2014-01-21,2014-01-21,United States,,,Michael Ryan,,"['Warner Bros. Animation', 'DC Entertainment', 'DR Movie']",,,,,,
94,Justice League: War,Jay Oliva,Heath Corson,"['""', 'Justice League: Origin', '""', 'by', 'Geoff Johns', 'Jim Lee']",James Tucker,"['Christopher Gorham', 'Justin Kirk', 'Shemar Moore', ""Jason O'Mara""]",,Christoper D. Lozinski,Kevin Kliesch,,Warner Home Video,,79 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'MOI Animation']","['January 21, 2014 (digital)', 'February 4, 2014 (physical)']",,,,,
95,Son of Batman,Ethan Spaulding,,"['Characters appearing in comic books published', 'by', 'DC Entertainment']",James Tucker,"[""Jason O'Mara"", 'Stuart Allan', 'Thomas Gibson', 'Morena Baccarin']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,"['April 22, 2014']",74 minutes,English,,,2014-04-22,2014-04-22,United States,,,Joe R. Lansdale,James Robinson,"['Warner Bros. Animation', 'DC Entertainment', 'The Answer Studio']",,,,,,
96,Batman: Assault on Arkham,"['Jay Oliva', 'Ethan Spaulding']",Heath Corson,"['Characters appearing in comic books published', 'by', 'DC Entertainment']",James Tucker,"['Kevin Conroy', 'Neal McDonough', 'Hynden Walch', 'Matthew Gray Gubler']",,Christopher D. Lozinski,Robert J. Kral,,Warner Home Video,,76 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'MOI Animation']","['July 25, 2014 ( San Diego )', 'July 29, 2014 (Digital)', 'August 12, 2014 (Physical)']",,,,,
97,Justice League: Throne of Atlantis,Ethan Spaulding,Heath Corson,"['Throne of Atlantis', 'by', 'Geoff Johns', 'Paul Pelletier', 'Ivan Reis']",James Tucker,"['Rosario Dawson', 'Nathan Fillion', 'Christopher Gorham', 'Matt Lanter', ""Jason O'Mara""]",,Christoper D. Lozinski,Frederik Wiedmann,,Warner Home Video,,72 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'MOI Animation']","['January 13, 2015 (digital)', 'January 27, 2015 (physical)']",,,,,
98,Batman vs. Robin,Jay Oliva,,"['""Batman: The Court of Owls""', 'by', 'Scott Snyder', 'Greg Capullo', 'Jonathan Glapion']",James Tucker,"[""Jason O'Mara"", 'Stuart Allan', 'Jeremy Sisto', 'Grey Griffin']",,Al Bretienbach,Frederik Wiedmann,,Warner Home Video,,80 minutes,English,,,,,United States,,,J. M. DeMatteis,,"['Warner Bros. Animation', 'DC Entertainment', 'The Answer Studio']","['April 7, 2015 (digital)', 'April 14, 2015 (physical)']",,,,,
99,Batman Unlimited: Animal Instincts,Butch Lukic,,['Mattel'],Butch Lukic,"['Roger Craig Smith', 'Chris Diamantopoulos', 'Dana Snyder']",,Bruce A. King,Kevin Riepl,,Warner Home Video,"['May 12, 2015']",77 minutes,English,,,2015-05-12,2015-05-12,United States,,,Heath Corson,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
100,Justice League: Gods and Monsters,Sam Liu,,,"['Sam Register', 'Bruce Timm']","['Benjamin Bratt', 'Michael C. Hall', 'Tamara Taylor']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,,76 minutes,English,,,,,United States,,,Alan Burnett,"['Alan Burnett', 'Bruce Timm']","['Warner Bros. Animation', 'DC Entertainment', 'MOI Animation']","['July 21, 2015 (Digital)', 'July 28, 2015 (Physical)']",,,,,
101,Batman Unlimited: Monster Mayhem,Butch Lukic,,['Mattel'],Butch Lukic,"['Roger Craig Smith', 'Khary Payton', 'Troy Baker']",,Bruce A. King,Kevin Riepl,,Warner Home Video,"['August 18, 2015']",81 minutes,English,,,2015-08-18,2015-08-18,United States,,,Heath Corson,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
102,Batman: Bad Blood,Jay Oliva,,"['Bob Kane', 'Bill Finger']",James Tucker,"[""Jason O'Mara"", 'Yvonne Strahovski', 'Stuart Allan', 'Sean Maher', 'Morena Baccarin']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,,72 minutes,English,,,,,United States,,,J.M. DeMatteis,,"['Warner Bros. Animation', 'DC Entertainment', 'The Answer Studio']","['January 20, 2016 (digital)', 'February 2, 2016 (physical)']",,,,,
103,Batman: The Killing Joke,['Sam Liu'],Brian Azzarello,"['Alan Moore', 'Brian Bolland']","['Bruce Timm', 'Alan Burnett', 'Sam Register']","['Kevin Conroy', 'Mark Hamill', 'Tara Strong', 'Ray Wise']",,Christopher D. Lozinski,"['Kristopher Carter', 'Michael McCuistion', 'Lolita Ritmanis']",,"['Warner Bros. Pictures', 'Fathom Events']",,77 minutes,English,3500000.0,4400000.0,,,United States,$3.5 million,$4.4 million,,,"['DC Entertainment', 'Warner Bros. Animation', 'The Answer Studio']","['July 22, 2016 ( San Diego Comic-Con )', 'July 25, 2016 (United States)']",,,,,
104,Batman: Return of the Caped Crusaders,Rick Morales,,"['Batman', 'by', 'William Dozier', 'Batman', 'by', 'Bill Finger', 'and', 'Bob Kane']","['Michael Jelenic', 'Benjamin Melniker', 'Sam Register', 'James Tucker', 'Michael Uslan']","['Adam West', 'Burt Ward', 'Julie Newmar']",,Christopher D. Lozinski,"['Kristopher Carter', 'Michael McCuistion', 'Lolita Ritmanis']",,Warner Bros. Pictures,,78 minutes,English,,57343.0,,,United States,,"$57,343","['Michael Jelenic', 'James Tucker']",,"['Warner Bros. Animation', 'DC Entertainment']","['October 6, 2016 ( NYCC )', 'October 10, 2016 (United States)']",,,Jeff Bergman,,
105,Justice League vs. Teen Titans,Sam Liu,,,James Tucker,"['Jon Bernthal', 'Taissa Farmiga', ""Jason O'Mara""]",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,,79 minutes,English,,,,,United States,,,"['Bryan Q. Miller', 'Alan Burnett']",Bryan Q. Miller,"['Warner Bros. Animation', 'DC Entertainment', 'MOI Animation']","['March 26, 2016 ( WonderCon )', 'March 29, 2016 (United States)']",,,,,
106,DC Super Hero Girls: Hero of the Year,Cecilia Aranovich,Shea Fontana,,"['Jennifer Coyle', 'Paula Haifley']","['Teala Dunn', 'Anais Fairweather', 'Grey Griffin', 'Tara Strong', 'Stephanie Sheh', 'Mae Whitman']",,Molly Yahr,Shaun Drew,,Warner Home Video,,76 minutes,English,,,,,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation', 'Mattel Playground Productions']","['24 July 2016 ( San Diego Comic-Con International )', '9 August 2016 (digital)', '23 August 2016 (DVD)']",,,,,
107,Batman Unlimited: Mechs vs. Mutants,Curt Geda,,,"['Curt Geda', 'Sam Register', 'Benjamin Melniker', 'Michael Uslan']","['Roger Craig Smith', 'Oded Fehr', 'Dana Snyder', 'Lucien Dodge']",,Bruce A. King,Kevin Riepl,,Warner Home Video,,72 minutes,English,,,,,United States,,,"['Kevin Burke', 'Chris ""Doc"" Wyatt']",,"['Warner Bros. Animation', 'DC Entertainment']","['July 24, 2016 ( San Diego Comic-Con International )', 'August 30, 2016 (Digital )', 'September 13, 2016 (DVD )']",,,,,
108,Justice League Dark,['Jay Oliva'],,"['Justice League Dark', 'by', 'Peter Milligan', 'and Mikel Janín']",James Tucker,"['Matt Ryan', 'Camilla Luddington', ""Jason O'Mara""]",,Christopher D. Lozinski,Robert J. Kral,,Warner Home Video,,75 minutes,English,,,,,United States,,,Ernie Altbacker,"['Ernie Altbacker', 'J. M. DeMatteis']","['Warner Bros. Animation', 'DC Entertainment', 'DR Movie']","['January 24, 2017 (digital)', 'February 7, 2017 (DVD and Blu-ray release)']",,,,,
109,Teen Titans: The Judas Contract,Sam Liu,,"['Marv Wolfman', 'and George Pérez']",James Tucker,"['Miguel Ferrer', 'Christina Ricci']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,,84 minutes,English,,,,,United States,,,Ernie Altbacker,,"['Warner Bros. Animation', 'DC Entertainment', 'The Answer Studio (animation service)']","['March 31, 2017 ( WonderCon )', 'April 4, 2017 (United States)']",,,,,
110,DC Super Hero Girls: Intergalactic Games,Cecilia Aranovich,Shea Fontana,,"Jennifer Coyle, Paula Haifley","['Teala Dunn', 'Anais Fairweather', 'Grey Griffin', 'Tara Strong', 'Stephanie Sheh', 'Mae Whitman']",,Molly Yahr,Shaun Drew,,Warner Home Video,,77 minutes,English,,,,,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation', 'Mattel Creations']","['9 May 2017 (digital)', '23 May 2017 (DVD)']",,,,,
111,Batman and Harley Quinn,Sam Liu,,"['Bill Finger', 'Bob Kane', 'Paul Dini', 'Bruce Timm']",,"['Kevin Conroy', 'Melissa Rauch']",,Christopher D. Lozinski,"['Michael McCuistion', 'Lolita Ritmanis', 'Kristopher Carter']",,Warner Bros. Home Entertainment,,74 minutes,English,,6448.0,,,United States,,"$6,448","['Bruce Timm', 'Jim Krieg']",Bruce Timm,"['Warner Bros. Animation', 'DC Entertainment', 'DR Movie']","['July 21, 2017 ( San Diego Comic-Con )', 'August 14, 2017']",,,,,
112,Batman vs. Two-Face,Rick Morales,"['Michael Jelenic', 'James Tucker']","['William Dozier', 'Bob Kane', 'Bill Finger']","['Alan Burnett (co-producer)', 'Michael Jelenic (producer)', 'Benjamin Melniker', 'Sam Register (executive producers)', 'James Tucker (supervising producer)', 'Michael Uslan']","['Adam West', 'Burt Ward', 'William Shatner', 'Julie Newmar']",,Christopher D. Lozinski,"['Kristopher Carter', 'Michael McCuistion', 'Lolita Ritmanis']",,Warner Bros. Home Entertainment,,72 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['October 8, 2017 ( New York Comic Con )', 'October 10, 2017']",,,,,
113,Scooby-Doo! & Batman: The Brave and the Bold,Jake Castorena,,"['Scooby-Doo', 'by', 'William Hanna', ',', 'Joseph Barbera', ',', 'Iwao Takamoto', ',', 'Joe Ruby', ', &', 'Ken Spears', 'Batman', 'by', 'Bob Kane', ',', 'Bill Finger', ', &', 'DC Comics', 'Batman: The Brave and the Bold', 'by James Tucker,', 'Michael Jelenic', ', &', 'DC Comics']",Michael Jelenic,"['Matthew Lillard', 'Frank Welker', 'Grey Griffin', 'Kate Micucci', 'Diedrich Bader']",,"['Christopher D. Lozinski', 'Molly Yahr']","['Michael McCuistion', 'Lolita Ritmanis', 'Kristopher Carter']",,Warner Bros. Home Entertainment,,75 minutes,English,,,,,United States,,,Paul Giacoppo,"['James Tucker', 'Michael Jelenic', 'Kaz']","['Warner Bros. Animation', 'DC Entertainment']","['January 6, 2018 ( TCL Chinese Theatre )', 'January 9, 2018 (DVD and digital)']",,,,,
114,Batman: Gotham by Gaslight,Sam Liu,,"['Brian Augustyn', 'Mike Mignola']",Sam Liu,"['Bruce Greenwood', 'Jennifer Carpenter']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Bros. Home Entertainment,,78 minutes,English,,,,,United States,,,Jim Krieg,,"['Warner Bros. Animation', 'DC Entertainment', 'The Answer Studio']","['January 12, 2018 ( Newseum )', 'January 23, 2018 (Digital Download)', 'February 6, 2018 (Blu-ray)']",,,,,
115,Suicide Squad: Hell to Pay,Sam Liu,Alan Burnett,['John Ostrander'],Sam Liu,"['Christian Slater', 'Vanessa Williams', 'Billy Brown']",,Christopher D. Lozinski,Robert J. Kral,,Warner Bros. Home Entertainment,"['March 27, 2018']",86 minutes,English,,,2018-03-27,2018-03-27,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation']",,,,,,
116,Batman Ninja,Junpei Mizusaki,,"['Bob Kane', 'Bill Finger']",Takanari Yamaguchi,"['Roger Craig Smith', 'Tony Hale', 'Grey Griffin', 'Tara Strong']",,Kiyoshi Hirose,Yugo Kanno,,"['Warner Bros. Pictures', 'Warner Bros. Home Entertainment']",,85 minutes,,,,,,,,,"['Kazuki Nakashima', 'English version: Leo Chu', 'Eric S. Garcia']",,"['Warner Bros. Japan', 'DC Entertainment', 'Kamikaze Douga', 'YamatoWorks', 'Barnum Studio']","['April 24, 2018 (United States)', 'June 15, 2018 (Japan)']","['United States', 'Japan']",,,"['English', 'Japanese']",
117,The Death of Superman,"['Sam Liu', 'Jake Castorena']",Peter J. Tomasi,"['The Death of Superman', 'by', 'Mike Carlin']","['Sam Liu', 'Amy McKenna']","[""Jerry O'Connell"", 'Rebecca Romijn', 'Rainn Wilson']",,Christopher D. Lozinski,Frederik Wiedmann,,['Warner Bros. Home Entertainment'],,81 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'Studio Mir (animation services)']","['July 20, 2018 ( San Diego Comic-Con )', 'July 24, 2018 ( digital )']",,,,,
118,DC Super Hero Girls: Legends of Atlantis,"['Cecilia Aranovich', 'Ian Hamilton']",Shea Fontana,"['Shea Fontana', 'Lisa Yee', 'Aria Moffy']","['Jennifer Coyle', 'Sam Register', '(executive producer)', 'Paula Haifley']","['Teala Dunn', 'Anais Fairweather', 'Grey Griffin', 'Tara Strong', 'Stephanie Sheh', 'Mae Whitman']",,"['Rob Ehrenreich', 'Molly Yahr']",Shawn Drew,,Warner Bros. Home Entertainment,,72 minutes,English,,,,,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation']","['July 22, 2018 ( San Diego Comic-Con International )', 'October 2, 2018 (digital and DVD)']",,,,,
119,Reign of the Supermen,Sam Liu,"['Tim Sheridan', 'Jim Krieg']",Characters by DC Comics,James Tucker,"[""Jerry O'Connell"", 'Rebecca Romjin', 'Rainn Wilson']",,Christoper D. Lozinski,Frederik Wiedmann,,Warner Bros. Home Entertainment,,87 minutes,English,,4223.0,,,United States,,"$4,223",,,"['Warner Bros. Animation', 'DC Entertainment']","['January 13, 2019 ( limited )', 'January 15, 2019 (digital download and Blu-ray)']",,,,,
120,Justice League vs. the Fatal Five,Sam Liu,,['Gardner Fox'],"['Sam Liu', 'Amy McKenna', 'Bruce Timm']","['Elyes Gabel', 'Diane Guerrero', 'Kevin Conroy', 'Susan Eisenberg', 'George Newbern']",,Christopher D. Lozinski,"['Michael McCuistion', 'Kristopher Carter', 'Lolita Ritmanis']",,Warner Bros. Home Entertainment,,77 minutes,English,,,,,United States,,,"['Eric Carrasco', 'Jim Krieg', 'Alan Burnett']",Eric Carrasco,"['Warner Bros. Animation', 'DC Entertainment']","['March 29, 2019 ( WonderCon Anaheim)', 'March 30, 2019']",,,,,
121,Batman vs. Teenage Mutant Ninja Turtles,Jake Castorena,Marly Halpern-Graser,"['James Tynion IV', 'Freddie Williams II']",Ben Jones,"['Troy Baker', 'Eric Bauza', 'Darren Criss', 'Kyle Mooney', 'Baron Vaughn']",,,Kevin Riepl,,Warner Bros. Home Entertainment,,87 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'Nickelodeon']","['March 31, 2019 ( WonderCon Anaheim )', 'May 14, 2019 ( Digital )']",,,,,
122,Batman: Hush,Justin Copeland,,"['Jeph Loeb', 'Jim Lee']",Amy McKenna,"[""Jason O'Mara"", 'Jennifer Morrison']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Bros. Home Entertainment,,82 minutes,English,,,,,United States,,,Ernie Altbacker,,"['Warner Bros. Animation', 'DC Entertainment']","['July 19, 2019 ( San Diego Comic-Con )', 'July 20, 2019']",,,,,
123,Teen Titans Go! vs. Teen Titans,Jeff Mednikow,"['Marly Halpern-Graser', 'Jeremy Adams']","['Characters appearing in comic books published', 'by', 'DC']",Jeff Mednikow,"['Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong', 'Hynden Walch']",,"['Cris Mertens', 'Nick Simotas']",Jason Lazarus,,Warner Bros. Home Entertainment,,77 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['July 21, 2019 ( San Diego Comic-Con International )', 'September 24, 2019']",,,,,
124,Wonder Woman: Bloodlines,"['Sam Liu', 'Justin Copeland']",,"['William Moulton Marston', 'H. G. Peter']","['Sam Liu', 'Amy McKenna']","['Rosario Dawson', 'Jeffrey Donovan']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Bros. Home Entertainment,"['October 5, 2019']",79 minutes,English,,,2019-10-05,2019-10-05,United States,,,Mairghread Scott,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
125,Superman: Red Son,Sam Liu,,"['Superman: Red Son', 'by', 'Mark Millar']","['Sam Liu', 'Amy McKenna']","['Jason Isaacs', 'Amy Acker', 'Diedrich Bader']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Bros. Home Entertainment,"['February 25, 2020']",84 minutes,English,,,2020-02-25,2020-02-25,United States,,,J.M. DeMatteis,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
126,Justice League Dark: Apokolips War,"['Matt Peters', 'Christina Sotta']",,"['Characters', 'by', 'DC Comics']",James Tucker,"['Rosario Dawson', ""Jerry O'Connell"", ""Jason O'Mara"", 'Matt Ryan']",,Christopher D. Lozinski,Frederik Wiedmann,,Warner Home Video,"['May 5, 2020 ( digital download )']",90 minutes,English,,,2020-05-05,2020-05-05,United States,,,"['Ernie Altbacker', 'Mairghread Scott']",['Mairghread Scott'],"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
127,Superman: Man of Tomorrow,Chris Palmer,Tim Sheridan,"['Characters from', 'DC', 'Superman', 'by', 'Jerry Siegel', 'and', 'Joe Shuster']","['Jim Krieg', 'Kimberly S. Moreau']","['Darren Criss', 'Zachary Quinto']",,Bruce A. King,Kevin Riepl,,Warner Bros. Home Entertainment,"['August 23, 2020 ( digital )']",86 minutes,English,,,2020-08-23,2020-08-23,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
128,Batman: Soul of the Dragon,Sam Liu,Jeremy Adams,"['The Characters from', 'DC', 'Batman', 'by', 'Bob Kane', 'and', 'Bill Finger']","['Jim Krieg', 'Sam Liu', 'Kimberly S. Moreau']","['David Giuntoli', 'Mark Dacascos', 'Kelly Hu', 'Michael Jai White']",,Bruce A. King,Joachim Horsley,,Warner Bros. Home Entertainment,"['January 12, 2021']",83 minutes,English,,,2021-01-12,2021-01-12,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'Studio Mir (animation services)']",,,,,,
129,Justice Society: World War II,Jeff Wamester,"['Meghan Fitzmartin', 'Jeremy Adams']","['Gardner Fox', 'Everett E. Hibbard', 'Sheldon Mayer']","['Jim Krieg', 'Kimberly S. Moreau']","['Stana Katic', 'Matt Bomer']",,Bruce A. King,Kevin Riepl,,Warner Bros. Home Entertainment,"['April 27, 2021']",84 minutes,English,,,2021-04-27,2021-04-27,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
130,Space Jam,Joe Pytka,"['Leo Benvenuti Steve Rudnick', 'Timothy Harris', 'Herschel Weingrod']","['Looney Tunes', 'by', 'Warner Bros.']","['Joe Medjuck', 'Daniel Goldberg', 'Ivan Reitman']","['Michael Jordan', 'Billy West', 'Wayne Knight', 'Theresa Randle', 'Danny DeVito']",Michael Chapman,Sheldon Kahn,James Newton Howard,,Warner Bros.,,88 minutes,English,80000000.0,250200000.0,,,United States,$80 million,$250.2 million,,,"['Warner Bros. Family Entertainment', 'Warner Bros. Feature Animation']","['November 10, 1996 ( Los Angeles )', 'November 15, 1996 (United States)']",,,,,
131,Batman: The Long Halloween,Chris Palmer,Tim Sheridan,"['Jeph Loeb', 'Tim Sale']","['Jim Krieg', 'Kimberly S. Moreau']","['Jensen Ackles', 'Josh Duhamel', 'Naya Rivera']",,John Soares,Michael Gatt,,Warner Bros. Home Entertainment,,"['85 minutes', '87 minutes', '168 minutes']",English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['June 22, 2021 (Part 1)', 'July 27, 2021 (Part 2)', 'September 20, 2022 (Deluxe Edition)']",,,,,
132,Batman: The Long Halloween,Chris Palmer,Tim Sheridan,"['Jeph Loeb', 'Tim Sale']","['Jim Krieg', 'Kimberly S. Moreau']","['Jensen Ackles', 'Josh Duhamel', 'Naya Rivera']",,John Soares,Michael Gatt,,Warner Bros. Home Entertainment,,"['85 minutes', '87 minutes', '168 minutes']",English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['June 22, 2021 (Part 1)', 'July 27, 2021 (Part 2)', 'September 20, 2022 (Deluxe Edition)']",,,,,
