,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
20,Superman II,Richard Lester,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas', 'Margot Kidder', ""Jack O'Halloran"", 'Valerie Perrine', 'Susannah York', 'Clifton James', 'E. G. Marshall', 'Marc McClure', 'Terence Stamp']",Robert Paynter,John Victor-Smith,Ken Thorne,,"['Columbia – EMI – Warner Distributors (United Kingdom)', 'Warner Bros. (United States)']",,127 minutes,English,54000000.0,190400000.0,,,,$54 million,$190.4 million,"['Mario Puzo', 'David Newman', 'Leslie Newman']",Mario Puzo,"['Dovemead Ltd.', 'International Film Production']","['December 4, 1980 (Australia)', 'April 9, 1981 (United Kingdom)', 'June 19, 1981 (United States)']","['United Kingdom', 'United States']",,,,
21,The Dark Knight,Christopher Nolan,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Emma Thomas', 'Charles Roven', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman']",Wally Pfister,Lee Smith,"['Hans Zimmer', 'James Newton Howard']",,Warner Bros. Pictures,,152 minutes,English,185000000.0,1006000000.0,,,,$185 million,$1.006 billion,"['Jonathan Nolan', 'Christopher Nolan']","['Christopher Nolan', 'David S. Goyer']","['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy']","['July 14, 2008 (New York City)', 'July 18, 2008 (United States)', 'July 25, 2008 (United Kingdom)']","['United States', 'United Kingdom']",,,,
22,Watchmen,Zack Snyder,,"['Watchmen', 'by', 'Dave Gibbons']","['Lawrence Gordon', 'Lloyd Levin', 'Deborah Snyder']","['Malin Åkerman', 'Billy Crudup', 'Matthew Goode', 'Carla Gugino', 'Jackie Earle Haley', 'Jeffrey Dean Morgan', 'Patrick Wilson']",Larry Fong,William Hoy,Tyler Bates,,"['Warner Bros. Pictures (North America)', 'Paramount Pictures (International)']",,163 minutes,English,130000000.0,187000000.0,,,United States,$130–150 million,$187 million,"['David Hayter', 'Alex Tse']",,"['Warner Bros. Pictures', 'Paramount Pictures', 'Legendary Pictures', 'DC Entertainment', 'Lawrence Gordon/Lloyd Levin Productions', 'Cruel and Unusual Films']","['February 23, 2009 ( Odeon Leicester Square )', 'March 6, 2009 (United States)']",,,,,
23,Jonah Hex,Jimmy Hayward,,"['John Albano', 'Tony DeZuniga']","['Akiva Goldsman', 'Andrew Lazar']","['Josh Brolin', 'John Malkovich', 'Megan Fox', 'Michael Fassbender', 'Will Arnett', 'Michael Shannon']",Mitchell Amundsen,"['Fernando Villena', 'Tom Lewis']","['Marco Beltrami', 'Mastodon']",,Warner Bros. Pictures,"['June 18, 2010']",81 minutes,English,47000000.0,11000000.0,2010-06-18,2010-06-18,United States,$47 million,$11 million,Neveldine & Taylor,"['William Farmer', 'Neveldine & Taylor']","['Legendary Pictures', 'DC Entertainment', 'Weed Road Pictures', 'Mad Chance Productions']",,,,,,
24,Green Lantern,Martin Campbell,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Donald De Line', 'Greg Berlanti', 'Geoff Johns']","['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong', 'Angela Bassett', 'Tim Robbins']",Dion Beebe,Stuart Baird,James Newton Howard,,Warner Bros. Pictures,,114 minutes,English,200000000.0,220000000.0,,,United States,$200 million,$220 million,"['Greg Berlanti', 'Michael Green', 'Marc Guggenheim', 'Michael Goldenberg']","['Greg Berlanti', 'Michael Green', 'Marc Guggenheim']","['Warner Bros. Pictures', 'DC Entertainment', 'De Line Pictures']","[""June 15, 2011 ( Grauman's Chinese Theatre )"", 'June 17, 2011 (United States)']",,,,,
25,The Dark Knight Rises,Christopher Nolan,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Emma Thomas', 'Christopher Nolan', 'Charles Roven']","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']",Wally Pfister,Lee Smith,Hans Zimmer,,Warner Bros. Pictures,,165 minutes,English,250000000.0,1085000000.0,,,,"['$250–300 million (gross)', '$230 million (net)']",$1.085 billion,"['Jonathan Nolan', 'Christopher Nolan']","['Christopher Nolan', 'David S. Goyer']","['Warner Bros. Pictures', 'Legendary Pictures', 'DC Entertainment', 'Syncopy Inc.']","['July 16, 2012 (New York City)', 'July 20, 2012 (United States and United Kingdom)']","['United Kingdom', 'United States']",,,,
26,Man of Steel,Zack Snyder,,"['Characters', 'appearing in comic books published', 'by', 'DC Entertainment']","['Charles Roven', 'Christopher Nolan', 'Emma Thomas', 'Deborah Snyder']","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Antje Traue', 'Ayelet Zurer', 'Christopher Meloni', 'Russell Crowe']",Amir Mokri,David Brenner,Hans Zimmer,,Warner Bros. Pictures,,143 minutes,English,225000000.0,670100000.0,,,,$225–258 million,$670.1 million,David S. Goyer,"['David S. Goyer', 'Christopher Nolan']","['Warner Bros. Pictures', 'Legendary Pictures', 'DC Entertainment', 'Syncopy', 'Peters Entertainment']","['June 10, 2013 ( Alice Tully Hall )', 'June 14, 2013 (United States)']","['United States', 'Canada', 'United Kingdom']",,,,
27,Batman v Superman: Dawn of Justice,Zack Snyder,"['Chris Terrio', 'David S. Goyer']","['Characters', 'from', 'DC']","['Charles Roven', 'Deborah Snyder']","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']",Larry Fong,David Brenner,"['Hans Zimmer', 'Junkie XL']",,Warner Bros. Pictures,,152 minutes,English,250000000.0,873600000.0,,,United States,$250–325 million,$873.6 million,,,"['Warner Bros. Pictures', '', 'DC Entertainment', 'Atlas Entertainment', 'Cruel and Unusual Films']","['March 19, 2016 ( Auditorio Nacional )', 'March 25, 2016 (United States)']",,,,,
28,Suicide Squad,David Ayer,David Ayer,"['Characters', 'from', 'DC']","['Charles Roven', 'Richard Suckle']","['Will Smith', 'Jared Leto', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jai Courtney', 'Jay Hernandez', 'Adewale Akinnuoye-Agbaje', 'Ike Barinholtz', 'Scott Eastwood', 'Cara Delevingne']",Roman Vasyanov,John Gilroy,Steven Price,,Warner Bros. Pictures,,123 minutes,English,175000000.0,747000000.0,,,United States,$175 million,$747 million,,,"['Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'DC Films', 'Atlas Entertainment']","['August 1, 2016 ( Beacon Theatre )', 'August 5, 2016 (United States)']",,,,,
29,Wonder Woman,Patty Jenkins,,"['Characters', 'from', 'DC']","['Charles Roven', 'Deborah Snyder', 'Zack Snyder', 'Richard Suckle']","['Gal Gadot', 'Chris Pine', 'Robin Wright', 'Danny Huston', 'David Thewlis', 'Connie Nielsen', 'Elena Anaya']",Matthew Jensen,Martin Walsh,Rupert Gregson-Williams,,Warner Bros. Pictures,,141 minutes,English,149000000.0,823970000.0,,,,$149 million,$823.97 million,Allan Heinberg,"['Zack Snyder', 'Allan Heinberg', 'Jason Fuchs']","['Warner Bros. Pictures', 'DC Films', 'Atlas Entertainment', 'Cruel and Unusual Films']","['May 26, 2017 ( Pantages Theatre )', 'June 2, 2017 (United States and China)']","['United States', 'China', 'Hong Kong']",,,,
30,Justice League,Zack Snyder,,"['Characters', 'from', 'DC']","['Charles Roven', 'Deborah Snyder', 'Jon Berg', 'Geoff Johns']","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen', 'J. K. Simmons']",Fabian Wagner,"['David Brenner', 'Richard Pearson', 'Martin Walsh']",Danny Elfman,,Warner Bros. Pictures,,120 minutes,English,300000000.0,661300000.0,,,United States,$300 million,$661.3 million,"['Chris Terrio', 'Joss Whedon']","['Chris Terrio', 'Zack Snyder']","['Warner Bros. Pictures', 'DC Films', 'RatPac-Dune Entertainment', 'Atlas Entertainment', 'Cruel and Unusual Films']","['November 13, 2017 ( Dolby Theatre )', 'November 17, 2017 (United States)']",,,,,
31,Zack Snyder's Justice League,Zack Snyder,,"['Characters', 'from', 'DC']","['Charles Roven', 'Deborah Snyder']","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ray Fisher', 'Jason Momoa', 'Ezra Miller', 'Willem Dafoe', 'Jesse Eisenberg', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen', 'J. K. Simmons']",Fabian Wagner,David Brenner,Tom Holkenborg,,"['HBO Max', 'Warner Bros. Pictures']","['March 18, 2021']",242 minutes,English,70000000.0,,2021-03-18,2021-03-18,United States,$70 million,,Chris Terrio,"['Chris Terrio', 'Zack Snyder', 'Will Beall']","['Warner Bros. Pictures', 'Access Entertainment', 'Dune Entertainment', 'DC Films', 'Atlas Entertainment', 'The Stone Quarry']",,,,,,
32,Aquaman,James Wan,,"['Characters', 'from', 'DC']","['Peter Safran', 'Rob Cowan']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Nicole Kidman']",Don Burgess,Kirk Morri,Rupert Gregson-Williams,,Warner Bros. Pictures,,143 minutes,English,160000000.0,1152000000.0,,,United States,$160–200 million,$1.152 billion,"['David Leslie Johnson-McGoldrick', 'Will Beall']","['Geoff Johns', 'James Wan', 'Will Beall']","['Warner Bros. Pictures', 'DC Entertainment', 'DC Films', 'RatPac Entertainment', 'The Safran Company', 'Cruel and Unusual Films', 'Mad Ghost Productions']","['November 26, 2018 ( Empire, Leicester Square )', 'December 21, 2018 (United States)']",,,,,
33,Shazam!,David F. Sandberg,,"['Characters', 'from', 'DC']",Peter Safran,"['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer', 'Djimon Hounsou']",Maxime Alexandre,Michel Aller,Benjamin Wallfisch,,Warner Bros. Pictures,,132 minutes,English,90000000.0,367700000.0,,,['United States'],$90–100 million,$367.7 million,Henry Gayden,"['Henry Gayden', 'Darren Lemke']","['New Line Cinema', 'DC Films', 'The Safran Company', 'Seven Bucks Productions']","['March 28, 2019 ( TCL Chinese Theater )', 'April 5, 2019 (United States)']",,,,,
34,Joker,Todd Phillips,"['Todd Phillips', 'Scott Silver']","['Joker', 'by', 'Bob Kane', 'Bill Finger', 'Jerry Robinson', 'Characters', 'by', 'DC Comics']","['Todd Phillips', 'Bradley Cooper', 'Emma Tillinger Koskoff']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Lawrence Sher,Jeff Groth,Hildur Guðnadóttir,,Warner Bros. Pictures,,122 minutes,English,55000000.0,1079000000.0,,,United States,$55–70 million,$1.079 billion,,,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Bron Creative', 'Joint Effort', 'DC Films']","['August 31, 2019 ( Venice )', 'October 4, 2019 (United States)']",,,,,
35,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Cathy Yan,Christina Hodson,"['Characters', 'from', 'DC']","['Margot Robbie', 'Bryan Unkeless', 'Sue Kroll']","['Margot Robbie', 'Mary Elizabeth Winstead', 'Jurnee Smollett-Bell', 'Rosie Perez', 'Chris Messina', 'Ella Jay Basco', 'Ali Wong', 'Ewan McGregor']",Matthew Libatique,"['Jay Cassidy', 'Evan Schiff']",Daniel Pemberton,,Warner Bros. Pictures,,109 minutes,English,82000000.0,205400000.0,,,United States,$82–100 million,$205.4 million,,,"['Warner Bros. Pictures', 'DC Films', 'LuckyChap Entertainment', 'Clubhouse Pictures', 'Kroll & Co. Entertainment']","['January 25, 2020 ( Mexico City )', 'February 7, 2020 (United States)']",,,,,
